Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
Tyler Linderbaum,22,BAL,C,17,17,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,AP ORoY-7
Chris Lindstrom,25,ATL,RG,17,17,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,"PB,AP-2"
Khalil Mack,31,LAC,RDE,17,17,0,0,0,0,2,2,0,2,44,0,8.0,50,33,17,12,12,0,PB
Patrick Mahomes,27,KAN,QB,17,17,0,0,0,0,0,0,5,4,-3,0,0.0,2,1,1,0,0,0,"PB,AP-1,AP MVP-1,AP OPoY-2"
Tyrann Mathieu,30,NOR,FS,17,17,3,44,0,41,8,1,0,1,0,0,1.0,91,64,27,3,1,0,
Devin McCourty,35,NWE,FS,17,17,4,66,0,36,8,0,0,1,0,0,0.0,71,54,17,0,0,0,
Roger McCreary,22,TEN,LCB,17,17,1,4,0,4,8,0,0,0,0,0,0.0,84,70,14,2,0,0,
Kaleb McGary,27,ATL,RT,17,17,0,0,0,0,0,0,0,1,0,0,0.0,1,0,1,0,0,0,
Connor McGovern,29,NYJ,C,17,17,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,
Terry McLaurin,27,WAS,WR,17,17,0,0,0,0,0,0,1,1,0,0,0.0,3,3,0,0,0,0,PB
Alim McNeill,22,DET,RDT,17,17,0,0,0,0,0,0,0,0,0,0,1.0,41,17,24,6,7,0,
D.K. Metcalf,25,SEA,WR,17,17,0,0,0,0,0,0,2,0,0,0,0.0,1,1,0,0,0,0,
D.J. Moore,25,CAR,WR,17,17,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
Nicholas Morrow,27,CHI,LLB,17,17,1,5,0,5,2,0,0,0,0,0,0.0,116,83,33,11,0,0,
C.J. Mosley,30,NYJ,RILB,17,17,1,0,0,0,7,0,0,1,0,0,1.0,158,99,59,5,3,0,"PB,AP-2"
Taylor Moton,28,CAR,RT,17,17,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,0,0,0,
Josh Myers,24,GNB,C,17,17,0,0,0,0,0,0,1,0,-13,0,0.0,0,0,0,0,0,0,
Quenton Nelson,26,IND,LG,17,17,0,0,0,0,0,0,0,2,0,0,0.0,1,0,1,0,0,0,PB
Bilal Nichols,26,LVR,RDT,17,17,0,0,0,0,0,0,0,0,0,0,1.5,44,16,28,4,11,0,
Derrick Nnadi,26,KAN,LDT,17,17,0,0,0,0,0,0,0,0,0,0,0.0,25,11,14,1,0,0,
Uchenna Nwosu,26,SEA,LOLB,17,17,0,0,0,0,4,3,0,2,4,0,9.5,66,42,24,12,26,0,
Osa Odighizuwa,24,DAL,LDT,17,17,0,0,0,0,0,1,0,0,0,0,4.0,43,27,16,8,11,0,
Chukwuma Okorafor,25,PIT,RT,17,17,0,0,0,0,0,0,0,1,0,0,0.0,1,0,1,0,0,0,
Foyesade Oluokun,27,JAX,LILB,17,17,0,0,0,0,5,2,0,2,0,0,2.0,184,128,56,12,9,0,
David Onyemata,30,NOR,RDT,17,17,0,0,0,0,1,0,0,1,0,0,5.0,43,25,18,5,11,0,
Jonathan Owens,27,HOU,FS,17,17,0,0,0,0,4,0,0,0,0,0,1.0,125,84,41,0,1,0,
Dylan Parham,23,LVR,LG,17,17,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
Micah Parsons,23,DAL,LLB,17,17,0,0,0,0,3,3,0,3,36,1,13.5,65,42,23,13,26,0,"PB,AP-1,AP MVP-8,AP DPoY-2"
Daron Payne,25,WAS,LDT,17,17,0,0,0,0,5,0,0,1,0,0,11.5,64,32,32,18,20,1,PB
Patrick Peterson,32,MIN,RCB,17,17,5,91,0,39,15,0,0,0,0,0,0.0,66,56,10,3,0,0,
Harrison Phillips,26,MIN,NT,17,17,0,0,0,0,1,0,0,1,0,0,1.5,59,28,31,3,6,0,
Jalen Pitre,23,HOU,SS,17,17,5,57,0,29,8,0,1,1,0,0,1.0,147,99,48,5,1,0,AP DRoY-5
Ben Powers,26,BAL,LG,17,17,0,0,0,0,0,0,0,1,0,0,0.0,1,0,1,0,0,0,
Patrick Queen,23,BAL,RLB,17,17,2,11,0,11,6,1,0,2,5,0,5.0,117,79,38,9,14,0,
Jalen Ramsey,28,LAR,RCB,17,17,4,53,0,28,18,2,0,1,12,0,2.0,88,64,24,4,2,0,PB
Haason Reddick,28,PHI,LLB,17,17,0,0,0,0,3,5,0,3,1,0,16.0,49,35,14,11,26,0,"PB,AP-2,AP DPoY-4"
D.J. Reed,26,NYJ,LCB,17,17,1,0,0,0,12,1,0,0,0,0,0.0,80,63,17,1,0,0,
Justin Reid,25,KAN,FS,17,17,0,0,0,0,7,0,0,0,0,0,1.0,83,59,24,2,4,0,
Elandon Roberts,28,MIA,LILB,17,17,0,0,0,0,0,0,0,0,0,0,4.5,107,68,39,10,6,0,
Roy Robertson-Harris,29,JAX,LDE,17,17,0,0,0,0,4,0,0,0,0,0,3.0,45,28,17,7,12,0,
Aaron Rodgers,39,GNB,QB,17,17,0,0,0,0,0,0,8,0,11,0,0.0,0,0,0,0,0,0,
Jon Runyan Jr.,25,GNB,RG,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Darius Slay,31,PHI,RCB,17,17,3,17,0,19,14,0,0,0,0,0,0.0,55,40,15,0,0,0,PB
DeVonta Smith,24,PHI,WR,17,17,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
Geno Smith,32,SEA,QB,17,17,0,0,0,0,0,0,8,2,2,0,0.0,1,1,0,0,0,0,"PB,AP MVP-9,AP CPoY-1"
Preston Smith,30,GNB,LOLB,17,17,0,0,0,0,1,1,0,0,0,0,8.5,59,38,21,9,20,0,
Tyler Smith,21,DAL,LT,17,17,0,0,0,0,0,0,0,1,0,0,0.0,1,1,0,0,0,0,
L'Jarius Sneed,25,KAN,LCB,17,17,3,57,0,26,11,3,0,1,5,0,3.5,108,75,33,5,5,0,
Grover Stewart,29,IND,NT,17,17,0,0,0,0,3,0,0,1,0,0,4.0,70,44,26,9,7,0,
Cole Strange,24,NWE,LG,17,17,0,0,0,0,0,0,0,1,0,0,0.0,1,1,0,0,0,0,
Patrick Surtain II,22,DEN,LCB,17,17,2,-3,0,0,10,1,0,0,0,0,0.0,60,46,14,2,1,0,"PB,AP-1"
Montez Sweat,26,WAS,LDE,17,17,0,0,0,0,2,0,0,0,0,0,8.0,46,27,19,14,28,0,
Jawaan Taylor,25,JAX,RT,17,17,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
Adam Thielen,32,MIN,WR,17,17,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
Ian Thomas,26,CAR,TE,17,17,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
Jalen Thompson,24,ARI,SS,17,17,1,0,0,0,8,0,0,1,0,0,0.0,110,79,31,1,1,0,
Shaq Thompson,28,CAR,LLB,17,17,0,0,0,0,4,0,1,1,0,0,0.5,135,78,57,8,3,0,
Laremy Tunsil,28,HOU,LT,17,17,0,0,0,0,0,0,0,1,-2,0,0.0,1,0,1,0,0,0,PB
Jaylen Waddle,24,MIA,WR,17,17,0,0,0,0,0,0,1,0,0,0,0.0,1,1,0,0,0,0,
Bobby Wagner,32,LAR,RILB,17,17,2,13,0,13,5,0,0,0,0,0,6.0,140,81,59,10,10,0,AP-2
Charvarius Ward,26,SFO,RCB,17,17,1,9,0,9,11,1,0,1,40,0,0.0,87,59,28,3,0,0,
Fred Warner,26,SFO,MLB,17,17,1,20,0,20,10,1,0,0,0,0,2.0,130,79,51,3,6,0,"PB,AP-1"
Devin White,24,TAM,LILB,17,17,0,0,0,0,5,2,0,3,26,0,5.5,124,73,51,8,16,0,
Jordan Whitehead,25,NYJ,FS,17,17,2,5,0,5,8,0,0,0,0,0,0.0,89,58,31,4,0,0,
Christian Wilkins,27,MIA,LDE,17,17,0,0,0,0,6,2,0,1,2,0,3.5,98,59,39,16,7,0,
Connor Williams,25,MIA,C,17,17,0,0,0,0,0,0,1,1,7,0,0.0,0,0,0,0,0,0,
Jedrick Wills Jr.,23,CLE,LT,17,17,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
Donovan Wilson,27,DAL,FS,17,17,1,0,0,0,2,2,0,1,0,0,5.0,101,77,24,7,9,0,
Riq Woolen,23,SEA,CB,17,17,6,47,1,40,16,0,1,3,8,0,0.0,63,46,17,1,0,0,"PB,AP DRoY-3"
A.J. Brown,25,PHI,WR,17,16,0,0,0,0,0,0,2,0,0,0,0.0,2,2,0,0,0,0,"PB,AP-2,AP MVP-9,AP OPoY-11"
DeForest Buckner,28,IND,DT,17,16,0,0,0,0,3,2,0,1,0,0,8.0,74,44,30,11,22,0,
Parris Campbell,25,IND,WR,17,16,0,0,0,0,0,0,1,1,0,0,0.0,1,1,0,0,0,0,
Tyler Conklin,27,NYJ,TE,17,16,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,
Grant Delpit,24,CLE,SS,17,16,4,36,0,40,10,0,0,0,0,0,0.0,105,72,33,4,0,0,
Poona Ford,27,SEA,RDE,17,16,0,0,0,0,2,0,0,0,0,0,3.0,35,22,13,6,7,0,
Duron Harmon,31,LVR,SS,17,16,2,86,1,73,5,2,0,0,0,0,0.0,86,63,23,0,0,0,
Mack Hollins,29,LVR,WR,17,16,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,0,0,0,
Jerry Hughes,34,HOU,RDE/LDE,17,16,1,14,0,14,1,2,0,0,0,0,9.0,35,21,14,10,10,0,
Nnamdi Madubuike,25,BAL,DT,17,16,0,0,0,0,3,0,0,0,0,0,5.5,42,26,16,8,9,0,
Bobby McCain,29,WAS,FS,17,16,0,0,0,0,5,1,0,0,0,0,0.0,76,54,22,3,1,0,
Kenneth Murray,24,LAC,MLB,17,16,1,16,0,16,3,1,0,0,0,0,1.0,76,50,26,7,4,0,
Sam Mustipher,26,CHI,C,17,16,0,0,0,0,0,0,2,0,-14,0,0.0,0,0,0,0,0,0,
Bobby Okereke,26,IND,LLB,17,16,0,0,0,0,5,2,0,2,0,0,0.0,151,99,52,6,0,0,
Patrick Ricard,28,BAL,FB,17,16,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,PB
Drue Tranquill,27,LAC,LLB,17,16,1,20,0,20,4,1,0,0,0,0,5.0,146,95,51,10,8,0,
Joe Tryon-Shoyinka,23,TAM,OLB,17,16,0,0,0,0,2,0,0,0,0,0,4.0,40,23,17,6,14,0,
Quay Walker,22,GNB,RILB,17,16,0,0,0,0,7,3,0,1,63,0,1.5,121,75,46,5,4,0,
Deatrich Wise Jr.,28,NWE,RDE,17,16,0,0,0,0,3,2,0,0,0,0,7.5,59,33,26,7,11,0,
Dennis Daley,26,TEN,LT,17,15,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
Matt Judon,30,NWE,LOLB,17,15,0,0,0,0,3,2,0,1,1,0,15.5,60,36,24,14,28,0,"PB,AP DPoY-9"
Devin Lloyd,24,JAX,RILB,17,15,3,42,0,19,8,0,0,2,28,0,0.0,115,59,56,0,2,0,
Drake London,21,ATL,WR,17,15,0,0,0,0,0,0,3,0,0,0,0.0,3,2,1,0,0,0,
Rodney McLeod,32,IND,SS,17,15,2,27,1,27,8,0,0,1,0,0,0.0,96,59,37,8,0,0,
Jaelan Phillips,23,MIA,LOLB,17,15,0,0,0,0,2,1,0,2,0,0,7.0,61,37,24,8,25,0,
Asante Samuel Jr.,23,LAC,RCB,17,15,2,11,0,11,11,0,0,1,3,0,0.0,57,48,9,1,0,0,
Miles Sanders,25,PHI,RB,17,15,0,0,0,0,0,0,2,3,2,0,0.0,0,0,0,0,0,0,PB
Zach Sieler,27,MIA,RDE,17,15,0,0,0,0,4,2,0,0,0,0,3.5,70,41,29,7,12,0,
DeShawn Williams,30,DEN,RDE,17,15,0,0,0,0,3,0,0,0,0,0,4.5,37,21,16,4,8,0,
Robert Woods,30,TEN,WR,17,15,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
Devin Bush Jr.,24,PIT,LILB,17,14,0,0,0,0,2,0,0,0,0,0,0.0,81,44,37,2,2,0,
Evan Engram,28,JAX,TE,17,14,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,
Markus Golden,31,ARI,ROLB,17,14,0,0,0,0,0,0,0,0,0,0,2.5,48,22,26,7,20,0,
DaVon Hamilton,25,JAX,NT,17,14,0,0,0,0,1,1,0,1,0,0,2.5,56,27,29,5,6,0,
Hunter Henry,28,NWE,TE,17,14,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,
Alec Ingold,26,MIA,FB,17,14,0,0,0,0,0,0,0,0,0,0,0.0,4,4,0,0,0,0,
Kerby Joseph,22,DET,SS,17,14,4,70,0,38,8,2,0,1,6,0,0.0,82,55,27,0,1,0,
Roy Lopez,25,HOU,LDT,17,14,0,0,0,0,1,0,0,0,0,0,1.0,36,20,16,6,3,1,
Donovan Peoples-Jones,23,CLE,WR,17,14,0,0,0,0,0,0,1,0,0,0,0.0,1,0,1,0,0,0,
Jarran Reed,30,GNB,RDE,17,14,0,0,0,0,0,1,0,2,0,0,2.5,52,29,23,5,14,0,
Jamaree Salyer,22,LAC,LT,17,14,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
Shy Tuttle,27,NOR,LDT,17,14,0,0,0,0,5,0,0,0,0,0,2.0,49,26,23,1,3,0,
Isaiah Buggs,26,DET,LDT,17,13,0,0,0,0,2,1,0,0,0,0,1.0,46,21,25,0,10,0,
Desmond King,28,HOU,DB/LCB,17,13,2,30,0,29,8,0,1,2,20,0,0.0,89,59,30,10,2,0,
Deommodore Lenoir,23,SFO,LCB,17,13,1,8,0,8,5,0,0,0,0,0,1.0,79,54,25,6,2,0,
Isaiah Simmons,24,ARI,LILB,17,13,2,61,1,56,7,2,0,1,0,0,4.0,99,68,31,5,4,0,
Kyle Van Noy,31,LAC,LDE,17,13,0,0,0,0,3,1,0,2,0,0,5.0,46,30,16,8,9,0,
Nick Westbrook-Ikhine,25,TEN,WR,17,13,0,0,0,0,0,0,0,1,0,0,0.0,1,1,0,0,0,0,
Olamide Zaccheaus,25,ATL,WR,17,13,0,0,0,0,0,0,1,0,0,0,0.0,1,1,0,0,0,0,
Kwon Alexander,28,NYJ,ROLB,17,12,0,0,0,0,1,1,0,0,0,0,0.5,69,42,27,6,2,0,
Michael Davis,27,LAC,LCB,17,12,1,30,0,30,15,0,0,0,0,0,1.0,62,48,14,2,1,0,
Rasul Douglas,27,GNB,DB,17,12,4,26,0,22,13,1,1,0,0,0,1.0,85,69,16,4,1,0,
Travis Etienne,23,JAX,RB,17,12,0,0,0,0,0,0,5,1,0,0,0.0,0,0,0,0,0,0,
Morgan Fox,28,LAC,LDT,17,12,0,0,0,0,0,0,0,0,0,0,6.5,38,24,14,8,11,0,
Ko Kieft,24,TAM,TE,17,12,0,0,0,0,0,0,0,0,0,0,0.0,11,8,3,0,0,0,
George Pickens,21,PIT,WR,17,12,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
