Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards
Deshaun Watson,25,HOU,QB,16,16,4-12-0,382,544,70.2,4823,33,6.1,7,1.3,221,54.5,77,8.9,9.50,12.6,301.4,112.4,63.7,49,293,8.26,7.64,8.22,0,0,PB
Patrick Mahomes,25,KAN,QB,15,15,14-1-0,390,588,66.3,4740,38,6.5,6,1.0,238,54.1,75,8.1,8.89,12.2,316.0,108.2,78.1,22,147,3.61,7.53,8.33,3,3,"PB,AP-2,AP MVP-3,AP OPoY-2"
Tom Brady,43,TAM,QB,16,16,11-5-0,401,610,65.7,4633,40,6.6,12,2.0,233,49.6,50,7.6,8.02,11.6,289.6,102.2,66.0,21,143,3.33,7.12,7.53,3,3,
Matt Ryan,35,ATL,QB,16,16,4-12-0,407,626,65.0,4581,26,4.2,11,1.8,242,47.8,63,7.3,7.36,11.3,286.3,93.3,59.8,41,257,6.15,6.48,6.52,0,0,
Josh Allen,24,BUF,QB,16,16,13-3-0,396,572,69.2,4544,37,6.5,10,1.7,228,56.5,55,7.9,8.45,11.5,284.0,107.2,76.6,26,159,4.35,7.33,7.82,2,3,"PB,AP-2,AP MVP-2,AP OPoY-4"
Justin Herbert,22,LAC,QB,15,15,6-9-0,396,595,66.6,4336,31,5.2,10,1.7,216,47.8,72,7.3,7.57,10.9,289.1,98.3,62.6,32,218,5.10,6.57,6.84,1,3,AP ORoY-1
Aaron Rodgers,37,GNB,QB,16,16,13-3-0,372,526,70.7,4299,48,9.1,5,1.0,216,55.3,78,8.2,9.57,11.6,268.7,121.5,79.8,20,182,3.66,7.54,8.89,1,2,"PB,AP-1,AP MVP-1,AP OPoY-2"
Kirk Cousins,32,MIN,QB,16,16,7-9-0,349,516,67.6,4265,35,6.8,13,2.5,212,51.2,71,8.3,8.49,12.2,266.6,105.0,55.8,39,256,7.03,7.22,7.43,1,3,
Russell Wilson,32,SEA,QB,16,16,12-4-0,384,558,68.8,4212,40,7.2,13,2.3,213,51.4,62,7.5,7.93,11.0,263.3,105.1,67.1,47,301,7.77,6.46,6.82,3,3,PB
Philip Rivers,39,IND,QB,16,16,11-5-0,369,543,68.0,4169,24,4.4,11,2.0,200,51.1,55,7.7,7.65,11.3,260.6,97.0,55.0,19,118,3.38,7.21,7.18,2,3,
Derek Carr,29,LVR,QB,16,16,8-8-0,348,517,67.3,4103,27,5.2,9,1.7,192,50.6,85,7.9,8.20,11.8,256.4,101.4,64.3,26,150,4.79,7.28,7.53,3,5,
Matthew Stafford,32,DET,QB,16,16,5-11-0,339,528,64.2,4084,26,4.9,10,1.9,205,47.9,73,7.7,7.87,12.0,255.3,96.3,61.3,38,254,6.71,6.77,6.89,3,4,
Kyler Murray,23,ARI,QB,16,16,8-8-0,375,558,67.2,3971,26,4.7,12,2.2,205,48.9,80,7.1,7.08,10.6,248.2,94.3,61.9,27,176,4.62,6.49,6.45,3,4,PB
Jared Goff,26,LAR,QB,15,15,9-6-0,370,552,67.0,3952,20,3.6,13,2.4,194,51.8,56,7.2,6.82,10.7,263.5,90.0,50.8,23,161,4.00,6.59,6.27,0,1,
Ryan Tannehill,32,TEN,QB,16,16,11-5-0,315,481,65.5,3819,33,6.9,7,1.5,202,52.1,75,7.9,8.66,12.1,238.7,106.5,72.6,24,173,4.75,7.22,7.90,5,6,
Ben Roethlisberger,38,PIT,QB,15,15,12-3-0,399,608,65.6,3803,33,5.4,10,1.6,193,48.6,84,6.3,6.60,9.5,253.5,94.1,52.5,13,118,2.09,5.93,6.27,4,4,AP CPoY-2
Teddy Bridgewater,28,CAR,QB,15,15,4-11-0,340,492,69.1,3733,15,3.0,11,2.2,174,46.1,75,7.6,7.19,11.0,248.9,92.1,56.8,31,205,5.93,6.75,6.37,0,0,
Baker Mayfield,25,CLE,QB,16,16,11-5-0,305,486,62.8,3563,26,5.3,8,1.6,188,49.4,75,7.3,7.66,11.7,222.7,95.9,65.5,26,162,5.08,6.64,6.96,2,2,
Daniel Jones,23,NYG,QB,14,14,5-9-0,280,448,62.5,2943,11,2.5,10,2.2,157,42.8,53,6.6,6.06,10.5,210.2,80.4,54.0,45,286,9.13,5.39,4.92,0,0,
Drew Brees,41,NOR,QB,12,12,9-3-0,275,390,70.5,2942,24,6.2,6,1.5,149,52.6,52,7.5,8.08,10.7,245.2,106.4,68.3,13,89,3.23,7.08,7.60,1,3,
Drew Lock,24,DEN,QB,13,13,4-9-0,254,443,57.3,2933,16,3.6,15,3.4,145,41.1,92,6.6,5.82,11.5,225.6,75.4,41.2,19,123,4.11,6.08,5.31,1,1,
Lamar Jackson,23,BAL,QB,15,15,11-4-0,242,376,64.4,2757,26,6.9,9,2.4,138,46.2,47,7.3,7.64,11.4,183.8,99.3,67.3,29,160,7.16,6.41,6.70,1,1,
Joe Burrow,24,CIN,QB,10,10,2-7-1,264,404,65.3,2688,13,3.2,5,1.2,150,47.2,67,6.7,6.74,10.2,268.8,89.8,48.5,32,231,7.34,5.64,5.72,0,0,
Cam Newton,31,NWE,QB,15,15,7-8-0,242,368,65.8,2657,8,2.2,10,2.7,133,45.9,50,7.2,6.43,11.0,177.1,82.9,39.4,31,195,7.77,6.17,5.44,1,3,
Carson Wentz,28,PHI,QB,12,12,3-8-1,251,437,57.4,2620,16,3.7,15,3.4,130,40.0,59,6.0,5.18,10.4,218.3,72.8,41.9,50,326,10.27,4.71,3.98,3,2,
Nick Mullens,25,SFO,QB,10,8,2-6-0,211,326,64.7,2437,12,3.7,12,3.7,120,47.5,49,7.5,6.56,11.5,243.7,84.1,36.3,19,139,5.51,6.66,5.79,1,1,
Gardner Minshew II,24,JAX,QB,9,8,1-7-0,216,327,66.1,2259,16,4.9,5,1.5,117,48.0,51,6.9,7.20,10.5,251.0,95.9,44.0,27,147,7.63,5.97,6.23,1,1,
Sam Darnold,23,NYJ,QB,12,12,2-10-0,217,364,59.6,2208,9,2.5,11,3.0,109,38.3,69,6.1,5.20,10.2,184.0,72.7,32.9,35,234,8.77,4.95,4.16,0,0,
Andy Dalton,33,DAL,QB,11,9,4-5-0,216,333,64.9,2170,14,4.2,8,2.4,116,48.2,69,6.5,6.28,10.0,197.3,87.3,46.1,24,184,6.72,5.56,5.34,2,3,
Ryan Fitzpatrick,38,MIA,QB,9,7,4-3-0,183,267,68.5,2091,13,4.9,8,3.0,106,54.4,70,7.8,7.46,11.4,232.3,95.6,70.9,14,65,4.98,7.21,6.85,1,1,
Mitchell Trubisky,26,CHI,QB,10,9,6-3-0,199,297,67.0,2055,16,5.4,8,2.7,124,53.7,53,6.9,6.78,10.3,205.5,93.5,53.8,18,125,5.71,6.13,6.00,1,1,
Dak Prescott,27,DAL,QB,5,5,2-3-0,151,222,68.0,1856,9,4.1,4,1.8,93,56.0,58,8.4,8.36,12.3,371.2,99.6,73.1,10,66,4.31,7.72,7.72,1,1,
Nick Foles,31,CHI,QB,9,7,2-5-0,202,312,64.7,1852,10,3.2,8,2.6,93,43.9,50,5.9,5.42,9.2,205.8,80.8,36.0,18,145,5.45,5.17,4.69,2,2,
Tua Tagovailoa,22,MIA,QB,10,9,6-3-0,186,290,64.1,1814,11,3.8,5,1.7,100,47.7,35,6.3,6.24,9.8,181.4,87.1,44.8,20,136,6.45,5.41,5.40,2,2,
Alex Smith,36,WAS,QB,8,6,5-1-0,168,252,66.7,1582,6,2.4,8,3.2,73,43.4,68,6.3,5.33,9.4,197.8,78.5,28.2,22,139,8.03,5.27,4.39,1,1,AP CPoY-1
Dwayne Haskins,23,WAS,QB,7,6,1-5-0,148,241,61.4,1439,5,2.1,7,2.9,73,37.9,50,6.0,5.08,9.7,205.6,73.0,24.8,20,141,7.66,4.97,4.15,1,1,
