Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
David Macklin,27,ARI,RCB,16,15,2,79,1,60,17,0,0,0,0,0,0.0,61,53,8,1,0,
Marlon McCree,28,CAR,SS,16,15,3,73,0,46,10,0,0,1,4,0,0.0,88,74,14,2,0,
Willis McGahee,24,BUF,RB,16,15,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,
Heath Miller,23,PIT,TE,16,15,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,AP ORoY-2
Kirk Morrison,23,OAK,LLB,16,15,0,0,0,0,2,0,0,2,0,0,0.0,116,91,25,5,0,
Randy Moss,28,OAK,WR,16,15,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,
Michael Myers,29,DEN,LDT,16,15,0,0,0,0,2,0,0,1,0,0,1.0,31,25,6,5,0,
Lorenzo Neal,35,SDG,FB,16,15,0,0,0,0,0,0,0,1,0,0,0.0,1,1,0,0,0,"PB,AP-2"
Tommy Polley,27,BAL,MLB/RLB,16,15,0,0,0,0,3,0,0,1,2,0,4.0,97,73,24,5,0,
Jeff Posey,30,BUF,LLB,16,15,0,0,0,0,3,1,0,1,46,0,3.0,61,39,22,3,0,
Antwaan Randle El,26,PIT,WR,16,15,0,0,0,0,0,0,4,0,0,0,0.0,0,0,0,0,0,
James Reed,28,NYJ,LDT,16,15,0,0,0,0,0,0,0,2,33,1,2.0,65,44,21,7,0,
Darrion Scott,24,MIN,LDE/RDE,16,15,0,0,0,0,3,0,0,1,1,0,4.0,58,39,19,4,0,
Brandon Short,28,CAR,LLB,16,15,0,0,0,0,1,0,0,0,0,0,0.5,61,43,18,3,0,
Terrelle Smith,27,CLE,FB,16,15,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,
Ike Taylor,25,PIT,LCB,16,15,1,0,0,0,20,0,0,2,8,0,0.0,91,75,16,0,0,
Chaun Thompson,25,CLE,ROLB,16,15,0,0,0,0,3,2,0,1,0,0,5.0,84,63,21,10,0,
Odell Thurman,22,CIN,MLB,16,15,5,59,1,30,9,5,0,1,23,0,1.5,105,68,37,5,0,AP DRoY-3
Deshea Townsend,30,PIT,RCB,16,15,2,26,0,26,12,1,0,1,2,0,3.0,55,41,14,4,0,
Nathan Vasher,24,CHI,RCB,16,15,8,145,1,46,16,2,0,0,0,0,0.0,47,40,7,0,0,"PB,AP-2,AP DPoY-6"
Willie Whitehead,32,NOR,RDT,16,15,0,0,0,0,0,0,0,1,0,0,0.5,35,24,11,5,0,
Renaldo Wynn,31,WAS,LDE,16,15,0,0,0,0,1,0,0,1,0,0,0.5,31,25,6,3,0,
Bennie Anderson,28,BUF,LG,16,14,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,
Kendrell Bell,27,KAN,RLB,16,14,0,0,0,0,0,0,0,0,0,0,1.5,41,32,9,3,0,
Kyle Brady,33,JAX,TE,16,14,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0,0,
Vernon Carey,24,MIA,RT,16,14,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,
Andre Carter,26,SFO,ROLB,16,14,0,0,0,0,2,0,0,0,0,0,4.5,44,35,9,9,0,
Lional Dalton,30,KAN,RDT,16,14,0,0,0,0,0,0,0,0,0,0,1.0,18,12,6,3,0,
Travis Daniels,23,MIA,LCB,16,14,1,4,0,4,14,0,0,1,0,0,0.0,62,47,15,3,0,
James Davis,26,DET,RLB,16,14,0,0,0,0,0,0,0,1,0,0,0.0,59,35,24,3,0,
Jason Fisk,33,CLE,NT,16,14,0,0,0,0,0,0,0,0,0,0,0.0,39,23,16,0,0,
Charles Grant,27,NOR,RDE,16,14,0,0,0,0,2,1,0,1,23,0,2.5,62,44,18,5,0,
Eric Hicks,29,KAN,LDE,16,14,0,0,0,0,2,2,0,0,0,0,4.0,44,36,8,6,0,
Keyshawn Johnson,33,DAL,WR,16,14,0,0,0,0,1,0,3,0,0,0,0.0,0,0,0,0,0,
Kyle Johnson,27,DEN,FB,16,14,0,0,0,0,0,0,0,0,0,0,0.0,4,3,1,0,0,
Rudi Johnson,26,CIN,RB,16,14,0,0,0,0,0,0,1,2,0,0,0.0,0,0,0,0,0,
Brad Kassell,25,TEN,MLB,16,14,1,21,1,21,4,1,0,3,0,0,0.0,78,54,24,3,0,
Ross Kolodziej,27,ARI,LDT,16,14,0,0,0,0,2,2,0,2,0,0,3.0,29,21,8,2,0,
Ryan Nece,26,TAM,LLB,16,14,0,0,0,0,0,0,0,0,0,0,2.0,74,46,28,6,0,
Seth Payne,30,HOU,NT,16,14,0,0,0,0,3,1,0,0,0,0,4.0,59,45,14,6,0,
Jerry Porter,27,OAK,WR,16,14,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,
Jerald Sowell,31,NYJ,FB,16,14,0,0,0,0,0,0,1,3,0,0,0.0,5,3,2,0,0,
D.J. Williams,23,DEN,LLB,16,14,0,0,0,0,3,2,0,0,0,0,0.0,57,41,16,2,0,
C.C. Brown,22,HOU,SS/FS,16,13,1,5,0,5,2,1,0,0,0,0,0.0,80,54,26,3,0,
Josh Bullocks,22,NOR,FS,16,13,1,51,0,51,6,0,0,0,0,0,0.0,67,53,14,1,0,
Channing Crowder,22,MIA,RLB,16,13,0,0,0,0,4,1,0,2,0,0,0.0,85,53,32,2,0,
Curtis DeLoatch,24,NYG,RCB,16,13,1,20,0,20,13,1,0,0,0,0,0.0,58,48,10,1,0,
Greg Ellis,30,DAL,RDE,16,13,0,0,0,0,6,2,0,2,37,0,8.0,35,25,10,5,0,
Jim Finn,29,NYG,FB,16,13,0,0,0,0,0,0,1,0,0,0,0.0,,,,,0,
Dwight Freeney,25,IND,RDE,16,13,0,0,0,0,3,6,0,0,0,0,11.0,42,36,6,12,0,"PB,AP-1,AP DPoY-2"
La'Roi Glover,31,DAL,NT,16,13,0,0,0,0,0,1,0,0,0,0,3.0,28,23,5,4,0,PB
Renaldo Hill,27,OAK,DB,16,13,1,0,0,0,5,0,0,0,0,0,0.0,89,75,14,4,0,
Stuart Schweigert,24,OAK,FS,16,13,2,35,0,33,9,2,0,3,3,0,0.0,89,72,17,0,0,
Bryan Scott,24,ATL,FS,16,13,1,15,0,15,7,0,0,1,0,0,1.0,67,54,13,2,0,
Donte' Stallworth,25,NOR,WR,16,13,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,
Travis Taylor,27,MIN,WR,16,13,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,
Tim Anderson,25,BUF,RDT,16,12,0,0,0,0,4,0,0,0,0,0,1.0,42,26,16,5,0,
John Browning,32,KAN,LDT,16,12,0,0,0,0,4,1,0,0,0,0,2.0,35,31,4,4,0,
Derrick Burgess,27,OAK,RDE,16,12,0,0,0,0,0,3,0,2,0,0,16.0,58,52,6,13,0,"PB,AP-2"
Deke Cooper,28,JAX,SS,16,12,1,0,0,0,5,0,0,1,0,0,0.0,58,48,10,0,0,
Bryan Fletcher,26,IND,TE,16,12,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0,0,
Nick Greisen,26,NYG,RLB,16,12,0,0,0,0,4,3,0,3,28,0,1.0,88,67,21,9,0,
Orlando Huff,27,ARI,RLB,16,12,1,3,0,3,3,1,0,0,0,0,1.0,70,50,20,11,0,
Cullen Jenkins,24,GNB,RDT,16,12,0,0,0,0,5,0,0,1,-2,0,3.0,37,23,14,5,0,
Jarret Johnson,24,BAL,LDE,16,12,0,0,0,0,3,1,0,0,0,0,1.5,38,26,12,6,0,
Joe Jurevicius,31,SEA,WR,16,12,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,
Tommy Kelly,25,OAK,RDE,16,12,0,0,0,0,1,3,0,0,0,0,4.5,47,37,10,7,0,
Paris Lenon,28,GNB,LLB/RLB,16,12,0,0,0,0,6,1,0,0,0,0,1.5,65,37,28,2,0,
Shantee Orr,24,HOU,LOLB,16,12,0,0,0,0,2,4,0,0,0,0,7.0,50,38,12,6,0,
Mike Rosenthal,28,MIN,RT,16,12,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,
Hollis Thomas,31,PHI,LDT,16,12,0,0,0,0,3,0,0,0,0,0,0.0,35,27,8,1,0,
Akin Ayodele,26,JAX,LLB,16,11,0,0,0,0,1,4,0,1,0,0,2.5,72,56,16,4,0,
Michael Boley,23,ATL,LLB,16,11,0,0,0,0,5,1,0,0,0,0,0.0,64,43,21,3,0,
Reggie Brown,24,PHI,WR,16,11,0,0,0,0,0,0,1,0,0,0,0.0,1,1,0,0,0,AP ORoY-2
Rosevelt Colvin,28,NWE,ROLB,16,11,0,0,0,0,2,2,0,1,0,0,7.0,61,41,20,12,0,
Mike Furrey,28,STL,FS,16,11,4,143,1,67,8,0,0,3,0,0,0.0,58,48,10,1,0,
Jeremi Johnson,25,CIN,FB,16,11,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,
Marquand Manuel,26,SEA,FS,16,11,0,0,0,0,2,1,0,1,0,0,0.0,72,59,13,2,0,
R.W. McQuarters,29,DET,RCB/LCB,16,11,2,25,0,19,10,0,2,1,0,0,0.0,60,49,11,0,0,
Josh Parry,27,PHI,FB,16,11,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,
DaShon Polk,28,HOU,LILB,16,11,0,0,0,0,1,1,0,0,0,0,3.5,94,64,30,3,0,
Daimon Shelton,33,BUF,FB,16,11,0,0,0,0,0,0,1,0,0,0,0.0,3,0,3,0,0,
Jerramy Stevens,26,SEA,TE,16,11,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,
Fred Thomas,32,NOR,RCB,16,11,2,4,0,4,11,0,0,2,0,0,3.0,80,61,19,6,0,
Fabian Washington,22,OAK,RCB,16,11,0,0,0,0,5,0,0,1,0,0,0.0,43,40,3,0,0,
Jarrod Cooper,27,OAK,SS,16,10,0,0,0,0,2,2,0,2,0,1,0.5,56,42,14,3,0,
Zack Crockett,33,OAK,FB,16,10,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,
Landon Johnson,24,CIN,LLB,16,10,0,0,0,0,2,1,0,0,0,0,0.0,87,61,26,7,0,
Brandon Moore,26,SFO,LILB,16,10,1,12,0,12,4,0,1,1,9,0,5.0,72,51,21,4,0,
Jason Peters,23,BUF,RT,16,10,0,0,0,0,0,0,0,0,0,0,0.0,4,2,2,0,0,
Bart Scott,25,BAL,RLB,16,10,0,0,0,0,1,2,0,2,11,0,4.0,94,64,30,8,0,
Marcus Spears,22,DAL,LDE,16,10,0,0,0,0,1,0,0,1,59,0,1.5,31,19,12,1,0,
Travares Tillman,28,MIA,SS,16,10,3,38,0,22,5,0,0,1,0,0,0.0,59,37,22,0,0,
Torrin Tucker,26,DAL,LT,16,10,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,
Scott Wells,24,GNB,LG,16,10,0,0,0,0,0,0,1,2,-20,0,0.0,0,0,0,0,0,
Adam Bergen,22,ARI,TE,16,9,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,
Kevin Curtis,27,STL,WR,16,9,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,
Eric Edwards,25,ARI,TE,16,9,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,
Larry Johnson,26,KAN,RB,16,9,0,0,0,0,0,0,5,3,0,0,0.0,0,0,0,0,0,"PB,AP-2"
Ronald McKinnon,32,NOR,MLB,16,9,0,0,0,0,1,0,0,0,0,0,0.0,78,61,17,4,0,
Antwan Odom,24,TEN,RDE,16,9,0,0,0,0,1,1,0,2,52,2,2.0,31,18,13,4,0,
Will Smith,24,NOR,LDE,16,9,0,0,0,0,6,2,0,1,-2,0,8.5,60,48,12,10,0,
Donnie Spragan,29,MIA,LLB,16,9,1,0,0,0,3,1,0,0,0,0,1.0,53,38,15,2,0,
Brad Badger,30,OAK,LG,16,8,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,
Scott Fujita,26,DAL,LOLB,16,8,0,0,0,0,1,2,0,0,0,0,2.0,54,44,10,3,0,
William Henderson,34,GNB,FB,16,8,0,0,0,0,0,0,1,0,0,0,0.0,11,7,4,0,0,
Ellis Hobbs,22,NWE,RCB,16,8,3,8,0,8,12,0,1,2,7,0,0.0,44,35,9,2,0,
Justin Miller,21,NYJ,RCB,16,8,0,0,0,0,2,0,3,0,0,0,0.0,42,33,9,0,0,
Mewelde Moore,23,MIN,RB,16,8,0,0,0,0,0,0,2,2,0,0,0.0,1,0,1,0,0,
Adam Snyder,23,SFO,LT,16,8,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,
Roddy White,24,ATL,WR,16,8,0,0,0,0,0,0,1,0,0,0,0.0,3,2,1,0,0,
Ernest Wilford,26,JAX,WR,16,8,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,
Justin Bannan,26,BUF,LDT,16,7,0,0,0,0,0,0,0,0,0,0,1.5,40,23,17,4,0,
Rocky Bernard,26,SEA,RDT,16,7,0,0,0,0,3,0,0,2,5,0,8.5,52,43,9,16,0,
Brandon Chillar,23,STL,RLB,16,7,0,0,0,0,1,1,0,1,8,0,0.0,58,49,9,2,0,
Lorenzo Diamond,26,MIA,TE,16,7,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,
Brian Finneran,29,ATL,WR,16,7,0,0,0,0,0,0,0,0,0,0,0.0,4,4,0,0,0,
Domonique Foxworth,22,DEN,RCB,16,7,2,23,0,23,16,1,0,2,9,0,0.0,71,65,6,0,0,
Aaron Glenn,33,DAL,RCB,16,7,4,10,0,10,13,0,0,0,0,0,0.0,32,29,3,0,0,
Madison Hedgecock,24,STL,FB,16,7,0,0,0,0,0,0,0,0,0,0,0.0,14,10,4,0,0,
Doug Jolley,26,NYJ,TE,16,7,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,
Damione Lewis,27,STL,RDT,16,7,0,0,0,0,1,0,0,1,0,0,1.0,36,29,7,9,0,
Dennis Northcutt,28,CLE,WR,16,7,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,
Mike Patterson,22,PHI,RDT,16,7,0,0,0,0,0,1,0,0,0,0,3.5,45,38,7,11,0,
Antowain Smith,33,NOR,RB,16,7,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,
Reggie Williams,22,JAX,WR,16,7,0,0,0,0,0,0,2,0,0,0,0.0,,,,,0,
Jonathan Babineaux,24,ATL,RDE,16,6,0,0,0,0,1,0,0,1,0,0,0.5,31,24,7,5,0,
Michael Bennett,27,MIN,RB,16,6,0,0,0,0,0,0,5,2,0,0,0.0,0,0,0,0,0,
Corey Bradford,30,HOU,WR,16,6,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,
Chris Hetherington,33,SFO,FB,16,6,0,0,0,0,0,0,0,0,0,0,0.0,6,4,2,0,0,
Roderick Hood,24,PHI,RCB,16,6,3,17,0,17,15,0,1,0,0,0,0.0,42,40,2,1,0,
Josh Reed,25,BUF,WR,16,6,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,
Fred Robbins,28,NYG,RDT,16,6,0,0,0,0,1,0,0,1,0,0,1.5,26,17,9,5,0,
Raonall Smith,27,MIN,LLB,16,6,0,0,0,0,1,0,0,2,0,0,1.0,35,28,7,3,0,
Jacques Cesaire,25,SDG,RDE,16,5,0,0,0,0,0,0,0,0,0,0,1.0,25,17,8,2,0,
Terry Cousin,30,JAX,CB,16,5,4,18,0,14,8,0,0,1,0,0,0.5,47,40,7,1,0,
Chauncey Davis,22,ATL,RDE,16,5,0,0,0,0,0,0,0,2,24,1,1.0,28,21,7,4,0,
Trev Faulk,24,STL,MLB,16,5,0,0,0,0,0,1,0,0,0,0,0.0,42,35,7,2,0,
Jason Ferguson,31,DAL,NT,16,5,0,0,0,0,1,0,0,1,0,0,1.0,37,27,10,3,0,
Ryan Hannam,25,SEA,TE,16,5,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,
Clinton Hart,28,SDG,SS,16,5,1,110,2,70,6,1,0,2,-1,0,0.0,46,34,12,0,0,
Ronnie Heard,29,ATL,FS,16,5,0,0,0,0,1,0,0,1,0,0,0.0,29,26,3,1,0,
Corey Ivy,28,STL,CB,16,5,1,19,0,19,5,1,0,0,0,0,2.0,70,63,7,9,0,
Kenard Lang,30,CLE,LOLB,16,5,0,0,0,0,2,0,0,0,0,0,2.0,41,28,13,6,0,
Vonta Leach,24,GNB,FB,16,5,0,0,0,0,0,0,0,2,0,0,0.0,4,1,3,0,0,
Moran Norris,27,HOU,FB,16,5,0,0,0,0,0,0,0,0,0,0,0.0,8,6,2,0,0,
Wali Rainer,28,DET,LLB,16,5,0,0,0,0,0,0,0,0,0,0,0.0,49,39,10,1,0,
Marcellus Rivers,27,HOU,TE,16,5,0,0,0,0,0,0,0,1,0,0,0.0,6,6,0,0,0,
Jordan Babineaux,23,SEA,DB,16,4,3,56,0,25,8,1,0,1,0,0,0.0,75,62,13,3,0,
Colin Cole,25,GNB,DT,16,4,0,0,0,0,1,0,0,0,0,0,2.0,39,24,15,4,0,
Jason Craft,29,NOR,DB,16,4,3,63,0,39,5,2,0,0,0,0,1.0,38,34,4,2,0,
Sammy Davis,25,SDG,DB,16,4,0,0,0,0,3,1,0,0,0,0,1.0,28,25,3,2,0,
Darnell Dinkins,28,BAL,TE,16,4,0,0,0,0,0,0,0,1,0,0,0.0,10,9,1,0,0,
Ebenezer Ekuban,29,DEN,DE,16,4,0,0,0,0,3,0,0,1,0,0,4.0,27,19,8,4,0,
Tank Johnson,24,CHI,DT,16,4,0,0,0,0,3,0,0,0,0,0,5.0,34,27,7,9,0,
Lance Legree,28,NYJ,DT,16,4,0,0,0,0,0,0,0,0,0,0,3.0,29,21,8,5,0,
Keith Lewis,24,SFO,DB,16,4,1,2,0,2,3,0,0,0,0,0,0.0,31,21,10,0,0,
Justin Peelle,26,SDG,TE,16,4,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,
Michael Pittman,30,TAM,RB,16,4,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,
Jeb Putzier,26,DEN,TE,16,4,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,
Deion Sanders,38,BAL,DB,16,4,2,57,0,33,5,0,1,0,0,0,0.0,30,27,3,1,0,
Bryan Thomas,26,NYJ,DE,16,4,0,0,0,0,2,0,0,0,0,0,3.5,37,24,13,5,0,
Bracy Walker,35,DET,DB,16,4,1,22,0,22,2,0,0,0,0,0,0.0,37,26,11,1,0,
Randal Williams,27,OAK,WR,16,4,0,0,0,0,0,0,0,0,0,0,0.0,11,8,3,0,0,
Todd Bouman,33,NOR,QB,16,3,0,0,0,0,0,0,4,0,0,0,0.0,,,,,0,
Tyler Brayton,26,OAK,DE,16,3,0,0,0,0,0,1,0,0,0,0,1.0,22,20,2,0,0,
Chris Draft,29,CAR,LB,16,3,0,0,0,0,1,1,0,2,0,0,2.0,53,44,9,7,0,
Demetric Evans,26,WAS,DE,16,3,0,0,0,0,2,0,0,1,0,0,3.0,22,17,5,3,0,
Michael Green,29,CHI,DB,16,3,1,14,0,14,4,2,0,1,0,0,0.0,41,33,8,0,0,
James Harrison,27,PIT,LB,16,3,1,25,0,25,3,0,0,1,0,0,3.0,57,43,14,9,0,
Ricky Manning,25,CAR,DB,16,3,2,20,0,10,6,1,0,3,11,1,0.0,42,34,8,3,0,
Keiwan Ratliff,24,CIN,DB,16,3,3,52,0,35,3,1,0,1,0,0,0.0,46,40,6,4,0,
Gabe Reid,28,CHI,TE,16,3,0,0,0,0,0,0,0,0,0,0,0.0,6,6,0,0,0,
Benny Sapp,24,KAN,DB,16,3,0,0,0,0,5,2,0,0,0,0,2.5,41,35,6,3,0,
Chad Williams,26,BAL,DB,16,3,1,14,0,14,4,2,0,0,0,0,1.5,48,43,5,4,0,
Jeff Zgonina,35,MIA,DT,16,3,0,0,0,0,2,0,0,1,0,0,2.0,43,23,20,3,0,
Charlie Adams,26,DEN,WR,16,2,0,0,0,0,0,0,4,0,0,0,0.0,1,1,0,0,0,
Sam Aiken,25,BUF,WR,16,2,0,0,0,0,0,0,0,1,0,0,0.0,18,13,5,0,0,
Obafemi Ayanbadejo,30,ARI,RB,16,2,0,0,0,0,0,0,1,0,0,0,0.0,10,8,2,0,0,
Chris Bober,29,KAN,C,16,2,0,0,0,0,,0,0,1,0,0,0.0,0,0,0,0,0,
Juran Bolden,31,TAM,DB,16,2,2,46,0,28,7,0,0,0,0,0,0.0,42,35,7,0,0,
Shawn Bryson,29,DET,RB,16,2,0,0,0,0,0,0,1,1,0,0,0.0,5,4,1,0,0,
Reche Caldwell,26,SDG,WR,16,2,0,0,0,0,0,0,2,0,0,0,0.0,1,1,0,0,0,
Chris Canty,23,DAL,DE,16,2,0,0,0,0,0,1,0,0,0,0,2.5,36,24,12,6,0,
Shaun Cody,22,DET,DT,16,2,0,0,0,0,0,1,0,1,0,0,1.5,28,17,11,4,0,
Stephen Cooper,26,SDG,LB,16,2,0,0,0,0,0,0,0,0,0,0,1.5,39,29,10,1,0,
Kalimba Edwards,26,DET,DE,16,2,0,0,0,0,2,2,0,3,10,0,7.0,32,25,7,7,0,
Jabari Greer,23,BUF,DB,16,2,0,0,0,0,3,0,0,0,0,0,1.0,35,26,9,2,0,
Dante Hall,27,KAN,WR,16,2,0,0,0,0,0,0,5,2,0,0,0.0,1,1,0,0,0,
Tyoka Jackson,34,STL,DT,16,2,0,0,0,0,0,0,0,0,0,0,2.5,22,18,4,4,0,
Clint Kriewaldt,29,PIT,LB,16,2,0,0,0,0,1,0,0,0,0,0,0.0,37,30,7,1,0,
Shaun McDonald,24,STL,WR,16,2,0,0,0,0,0,0,1,0,0,0,0.0,1,1,0,0,0,
Rob Meier,28,JAX,DT,16,2,0,0,0,0,0,1,0,1,0,0,6.0,35,29,6,9,0,
Maurice Morris,26,SEA,RB,16,2,0,0,0,0,0,0,0,1,-1,0,0.0,8,6,2,0,0,
Sammy Morris,28,MIA,RB,16,2,0,0,0,0,0,0,0,0,0,0,0.0,18,12,6,0,0,
Richard Owens,25,MIN,TE,16,2,0,0,0,0,0,0,0,1,0,0,0.0,19,13,6,0,0,
Artose Pinner,27,DET,RB,16,2,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,0,0,
Sam Rayburn,25,PHI,DT,16,2,0,0,0,0,0,0,0,1,0,0,1.0,32,26,6,5,0,
Gerome Sapp,24,IND,DB,16,2,0,0,0,0,0,0,0,0,0,0,0.0,38,29,9,0,0,
Gerald Sensabaugh,22,JAX,DB,16,2,0,0,0,0,1,0,0,1,0,0,0.0,24,19,5,0,0,
Derrick Strait,25,NYJ,DB,16,2,0,0,0,0,0,0,0,1,0,0,0.0,49,39,10,2,0,
Al Wallace,31,CAR,DE,16,2,2,38,0,38,3,1,0,1,6,0,5.0,25,20,5,4,0,
Kevin Walter,24,CIN,WR,16,2,0,0,0,0,0,0,0,0,0,0,0.0,16,10,6,0,0,
Jimmy Wilkerson,24,KAN,DE,16,2,0,0,0,0,2,0,0,1,0,0,0.0,22,20,2,2,0,
Alfonso Boone,29,CHI,DT,16,1,0,0,0,0,2,0,0,0,0,0,1.5,18,12,6,2,0,
Tony Bryant,29,NOR,DE,16,1,0,0,0,0,4,0,0,1,5,0,4.0,26,18,8,6,0,
James Butler,23,NYG,DB,16,1,2,16,0,16,5,0,1,1,5,0,0.0,35,30,5,0,0,
Jerricho Cotchery,23,NYJ,WR,16,1,0,0,0,0,0,0,2,1,0,0,0.0,9,9,0,0,0,
Rod Davis,24,MIN,LB,16,1,0,0,0,0,0,1,0,0,0,0,0.0,21,15,6,0,0,
Thomas Davis,22,CAR,LB,16,1,0,0,0,0,0,2,0,0,0,0,1.5,40,33,7,3,0,
Tim Dwight,30,NWE,WR,16,1,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,
Marshall Faulk,32,STL,RB,16,1,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,
Barry Gardner,29,NYJ,LB,16,1,0,0,0,0,0,1,0,0,0,0,0.0,18,13,5,0,0,
Nick Goings,27,CAR,RB,16,1,0,0,0,0,0,0,1,0,0,0,0.0,7,7,0,0,0,
Brandon Green,25,STL,DE,16,1,0,0,0,0,1,1,0,0,0,0,3.0,32,27,5,5,0,
Travis Hall,33,SFO,DE,16,1,0,0,0,0,1,2,0,0,0,0,0.5,20,14,6,2,0,
Quentin Harris,28,ARI,DB,16,1,0,0,0,0,3,0,0,2,0,0,0.0,40,31,9,0,0,
Matt Jones,22,JAX,WR,16,1,0,0,0,0,0,0,2,2,0,0,0.0,0,0,0,0,0,
Eric King,23,BUF,DB,16,1,0,0,0,0,4,0,0,0,0,0,0.0,29,27,2,1,0,
Rien Long,24,TEN,DT,16,1,0,0,0,0,1,1,0,0,0,0,3.5,34,26,8,4,0,
Omare Lowe,27,ATL,DB,16,1,0,0,0,0,1,0,0,0,0,0,0.0,20,18,2,0,0,
Bobby McCray,24,JAX,DE,16,1,0,0,0,0,1,3,0,1,0,0,5.5,17,13,4,6,0,
Juqua Parker,27,PHI,DE,16,1,0,0,0,0,2,0,0,1,16,0,0.0,24,19,5,2,0,
Willie Pile,25,DAL,DB,16,1,0,0,0,0,0,0,0,0,0,0,0.0,31,22,9,0,0,
Matt Schaub,24,ATL,QB,16,1,0,0,0,0,0,0,1,0,0,0,0.0,,,,,0,
Matt Schobel,27,CIN,TE,16,1,0,0,0,0,0,0,1,0,0,0,0.0,1,1,0,0,0,
Isaac Sopoaga,24,SFO,NT,16,1,0,0,0,0,1,0,0,0,0,0,0.0,22,16,6,3,0,
Barry Stokes,32,ATL,TE,16,1,0,0,0,0,,0,0,1,0,0,0.0,0,0,0,0,0,
Michael Waddell,24,TEN,DB,16,1,0,0,0,0,2,0,0,0,0,0,0.5,33,24,9,1,0,
Dewayne Washington,33,KAN,DB,16,1,0,0,0,0,2,1,0,1,0,0,0.0,14,13,1,0,0,
Wes Welker,24,MIA,WR,16,1,0,0,0,0,0,0,5,4,0,0,0.0,0,0,0,0,0,
Dewayne White,26,TAM,DE,16,1,0,0,0,0,2,2,0,3,52,1,3.0,36,31,5,7,0,
Cedrick Wilson,27,PIT,WR,16,1,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,
Ellis Wyms,26,TAM,DE,16,1,0,0,0,0,1,1,0,1,0,0,2.0,17,12,5,1,0,
Ethan Albright,34,WAS,LS,16,0,0,0,0,0,0,0,0,0,0,0,0.0,4,3,1,0,0,
Charlie Anderson,24,HOU,LB,16,0,0,0,0,0,2,0,0,1,0,0,1.0,18,14,4,4,0,
Brendon Ayanbadejo,29,CHI,LB,16,0,0,0,0,0,0,1,0,1,0,0,0.0,27,22,5,0,0,
Jason Baker,27,CAR,P,16,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,
William Bartee,28,KAN,DB,16,0,0,0,0,0,0,0,0,0,0,0,0.0,5,4,1,0,0,
Mike Bartrum,35,PHI,LS,16,0,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,0,0,PB
Jason Bell,27,HOU,DB,16,0,0,0,0,0,4,1,0,0,0,0,0.0,12,11,1,0,0,
Yeremiah Bell,27,MIA,DB,16,0,1,0,0,0,3,1,0,2,12,0,3.0,35,21,14,2,0,
Mitch Berger,33,NOR,P,16,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,
David Binn,33,SDG,LS,16,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,
