Player,Tm,Age,Pos,G,GS,Pnt,Yds,Y/P,RetYds,Net,NY/P,Lng,TB,TB%,In20,In20%,Blck
Donnie Jones,STL,31,P,16,0,105,4652,44.3,552,3920,37.0,65,9,8.6%,29,27.6%,1
Britton Colquitt,DEN,26,P,16,0,101,4783,47.4,585,4058,40.2,66,7,6.9%,33,32.7%,0
Jon Ryan,SEA,30,P,16,0,95,4431,46.6,541,3730,39.3,77,8,8.4%,34,35.8%,0
T.J. Conley,NYJ,26,P,16,0,92,3926,42.7,241,3565,38.8,63,6,6.5%,32,34.8%,0
Kevin Huber,CIN,26,P,16,0,91,4023,44.2,273,3570,39.2,71,9,9.9%,24,26.4%,0
Dustin Colquitt,KAN,29,P,16,0,89,4084,45.9,411,3573,40.1,68,5,5.6%,27,30.3%,0
Adam Podlesh,CHI,28,P,16,0,89,3903,43.9,223,3600,40.4,70,4,4.5%,21,23.6%,0
Pat McAfee,IND,24,P,16,0,88,4102,46.6,550,3488,39.2,64,3,3.4%,21,23.9%,1
Dave Zastudil,ARI,33,P,15,0,87,3929,45.2,565,3264,37.5,66,5,5.7%,24,27.6%,0
Brett Kern,TEN,25,P,16,0,86,3747,43.6,221,3386,39.4,64,7,8.1%,31,36.0%,0
Steve Weatherford,NYG,29,P,16,0,82,3745,45.7,407,3218,39.2,62,6,7.3%,25,30.5%,0
Brad Maynard,CLE,37,P,15,0,81,3282,40.5,288,2974,36.7,63,1,1.2%,32,39.5%,0
Brandon Fields,MIA,27,P,16,0,78,3810,48.8,463,3207,41.1,70,7,9.0%,32,41.0%,0
Shane Lechler*,OAK,35,P,16,0,78,3960,50.8,593,3187,40.9,80,9,11.5%,27,34.6%,0
Andy Lee*+,SFO,29,P,16,0,78,3970,50.9,315,3475,44.0,68,9,11.5%,28,35.9%,1
Chris Kluwe,MIN,30,P,16,0,77,3517,45.7,532,2925,38.0,60,3,3.9%,22,28.6%,0
Sam Koch,BAL,29,P,16,0,73,3393,46.5,392,2821,38.6,63,9,12.3%,21,28.8%,0
Nick Harris,JAX,33,P,11,0,72,3075,42.7,246,2729,37.9,55,5,6.9%,13,18.1%,0
Brian Moorman,BUF,35,P,16,0,72,3472,48.2,494,2778,38.1,66,10,13.9%,20,27.8%,1
Matthew Bosher,ATL,24,P,16,0,70,2990,42.7,150,2760,38.9,59,4,5.7%,27,38.6%,1
Michael Koenen,TAM,29,P,16,0,67,3023,45.1,266,2697,40.3,65,3,4.5%,24,35.8%,0
Jason Baker,CAR,33,P,16,0,66,2819,42.7,466,2253,34.1,56,5,7.6%,19,28.8%,0
Chas Henry,PHI,22,P,16,0,66,2830,42.9,176,2474,36.9,60,9,13.6%,19,28.8%,1
Saverio Rocca,WAS,38,P,16,0,66,2842,43.1,250,2572,39.0,63,1,1.5%,28,42.4%,0
Brett Hartmann,HOU,24,P,12,0,58,2573,44.4,243,2190,37.8,69,7,12.1%,15,25.9%,0
Mat McBriar,DAL,32,P,14,0,58,2542,43.8,272,2130,36.1,68,7,12.1%,21,36.2%,1
Zoltan Mesko,NWE,25,P,16,0,57,2648,46.5,220,2368,41.5,65,3,5.3%,24,42.1%,0
Tim Masthay,GNB,24,P,16,0,55,2506,45.6,305,2121,38.6,71,4,7.3%,23,41.8%,0
Ryan Donahue,DET,23,P,8,0,49,2093,42.7,270,1743,35.6,60,4,8.2%,13,26.5%,0
Mike Scifres,SDG,31,P,16,0,47,2234,47.5,329,1865,39.7,71,2,4.3%,17,36.2%,0
Thomas Morstead,NOR,25,P,16,0,46,2224,48.3,118,2026,43.1,64,4,8.7%,13,28.3%,1
Matt Turk,2TM,43,P,9,0,43,1755,40.8,151,1484,34.5,65,6,14.0%,11,25.6%,0
Jeremy Kapinos,PIT,27,P,8,0,34,1530,45.0,208,1302,38.3,59,1,2.9%,10,29.4%,0
Ben Graham,2TM,38,P,8,0,33,1447,43.8,92,1083,32.8,58,3,9.1%,10,30.3%,0
Daniel Sepulveda,PIT,27,P,8,0,25,1153,46.1,37,1016,39.1,66,5,20.0%,8,32.0%,1
Chris Jones,DAL,22,P,2,0,10,426,42.6,1,405,40.5,54,1,10.0%,4,40.0%,0
Richmond McGee,CLE,28,P,1,0,8,288,36.0,15,253,31.6,48,1,12.5%,0,0.0%,0
Robert Malone,DET,23,P,1,0,5,245,49.0,,,,62,,,,,0
Dan Bailey,DAL,23,K,16,0,2,79,39.5,5,74,37.0,41,0,0.0%,0,0.0%,0
